split,speaker,emotion,wav_path,duration,duration_hms
long,nc-f,angry,57,724.68,"(0, 12, 5)"
long,nc-f,fearful,85,1070.0859999999996,"(0, 17, 50)"
long,nc-f,happy,13,152.968,"(0, 2, 33)"
long,nc-f,neutral,782,11248.745000000008,"(3, 7, 29)"
long,nc-f,sad,426,6020.471000000007,"(1, 40, 20)"
long,nc-m,angry,26,333.878,"(0, 5, 34)"
long,nc-m,fearful,91,1114.3829999999998,"(0, 18, 34)"
long,nc-m,happy,81,1005.4079999999997,"(0, 16, 45)"
long,nc-m,neutral,502,7136.341000000006,"(1, 58, 56)"
long,nc-m,sad,131,1657.554000000001,"(0, 27, 38)"
n_test,nc-f,angry,12,96.55799999999999,"(0, 1, 37)"
n_test,nc-f,fearful,13,93.568,"(0, 1, 34)"
n_test,nc-f,happy,10,53.141000000000005,"(0, 0, 53)"
n_test,nc-f,neutral,28,191.557,"(0, 3, 12)"
n_test,nc-f,sad,5,45.624,"(0, 0, 46)"
n_test,nc-m,angry,10,61.265,"(0, 1, 1)"
n_test,nc-m,fearful,13,71.23100000000001,"(0, 1, 11)"
n_test,nc-m,happy,9,58.464999999999996,"(0, 0, 58)"
n_test,nc-m,neutral,22,155.04299999999998,"(0, 2, 35)"
n_test,nc-m,sad,6,41.087999999999994,"(0, 0, 41)"
train,nc-f,angry,1011,6482.407000000018,"(1, 48, 2)"
train,nc-f,fearful,993,5984.081999999994,"(1, 39, 44)"
train,nc-f,happy,1069,6123.627999999994,"(1, 42, 4)"
train,nc-f,neutral,2466,16806.402000000042,"(4, 40, 6)"
train,nc-f,sad,664,5652.307000000002,"(1, 34, 12)"
train,nc-m,angry,1052,6224.2260000000115,"(1, 43, 44)"
train,nc-m,fearful,985,6811.616000000008,"(1, 53, 32)"
train,nc-m,happy,1000,6911.674000000008,"(1, 55, 12)"
train,nc-m,neutral,2759,17584.57200000001,"(4, 53, 5)"
train,nc-m,sad,957,7200.337000000008,"(2, 0, 0)"
val,nc-f,angry,20,138.507,"(0, 2, 19)"
val,nc-f,fearful,9,51.96000000000001,"(0, 0, 52)"
val,nc-f,happy,8,49.559000000000005,"(0, 0, 50)"
val,nc-f,neutral,27,178.59599999999998,"(0, 2, 59)"
val,nc-f,sad,5,43.230000000000004,"(0, 0, 43)"
val,nc-m,angry,12,84.142,"(0, 1, 24)"
val,nc-m,fearful,11,74.679,"(0, 1, 15)"
val,nc-m,happy,10,67.179,"(0, 1, 7)"
val,nc-m,neutral,20,136.756,"(0, 2, 17)"
val,nc-m,sad,6,38.535000000000004,"(0, 0, 39)"
